date,open,high,low,close,volume
2024-08-01 09:15:00+05:30,2590.0,2590.55,2575.2,2579.4,6818
2024-08-01 09:16:00+05:30,2577.6,2580.0,2575.0,2578.0,2215
2024-08-01 09:17:00+05:30,2577.15,2580.0,2570.65,2571.0,3068
2024-08-01 09:18:00+05:30,2570.25,2570.35,2560.0,2562.4,5661
2024-08-01 09:19:00+05:30,2561.75,2567.65,2557.7,2561.1,14727
2024-08-01 09:20:00+05:30,2561.05,2564.5,2552.5,2555.0,10424
2024-08-01 09:21:00+05:30,2554.0,2562.2,2553.35,2561.95,6190
2024-08-01 09:22:00+05:30,2560.05,2561.7,2557.15,2559.0,3652
2024-08-01 09:23:00+05:30,2558.65,2561.4,2555.05,2555.9,2174
2024-08-01 09:24:00+05:30,2555.9,2557.7,2550.65,2554.75,6214
2024-08-01 09:25:00+05:30,2553.5,2555.7,2550.6,2555.15,2999
2024-08-01 09:26:00+05:30,2555.1,2559.9,2552.9,2558.75,3745
2024-08-01 09:27:00+05:30,2558.75,2559.5,2555.55,2555.55,2636
2024-08-01 09:28:00+05:30,2556.95,2561.3,2552.5,2552.5,4608
2024-08-01 09:29:00+05:30,2552.5,2555.45,2551.0,2552.6,3307
2024-08-01 09:30:00+05:30,2552.0,2553.8,2543.95,2547.65,7340
2024-08-01 09:31:00+05:30,2547.45,2550.15,2543.5,2543.5,5311
2024-08-01 09:32:00+05:30,2544.15,2548.85,2543.5,2544.5,3961
2024-08-01 09:33:00+05:30,2544.5,2550.35,2544.5,2549.4,2421
2024-08-01 09:34:00+05:30,2549.4,2553.3,2549.4,2552.25,2007
2024-08-01 09:35:00+05:30,2552.25,2555.6,2551.1,2553.7,2376
2024-08-01 09:36:00+05:30,2553.7,2555.0,2551.3,2555.0,1019
2024-08-01 09:37:00+05:30,2555.0,2555.0,2552.7,2553.0,700
2024-08-01 09:38:00+05:30,2553.0,2557.7,2551.3,2557.7,2418
2024-08-01 09:39:00+05:30,2557.7,2559.7,2552.0,2552.3,2765
2024-08-01 09:40:00+05:30,2553.0,2557.7,2553.0,2553.75,1107
2024-08-01 09:41:00+05:30,2553.75,2554.85,2550.6,2551.65,3651
2024-08-01 09:42:00+05:30,2553.1,2554.45,2547.35,2547.55,3186
2024-08-01 09:43:00+05:30,2547.55,2547.55,2543.25,2545.15,2763
2024-08-01 09:44:00+05:30,2545.15,2549.8,2545.15,2547.3,1879
2024-08-01 09:45:00+05:30,2547.3,2547.95,2545.0,2547.95,2058
2024-08-01 09:46:00+05:30,2547.95,2550.95,2547.4,2550.95,1494
2024-08-01 09:47:00+05:30,2550.95,2551.55,2549.0,2549.0,1030
2024-08-01 09:48:00+05:30,2549.0,2550.0,2548.75,2549.0,1968
2024-08-01 09:49:00+05:30,2549.0,2551.7,2548.85,2551.4,871
2024-08-01 09:50:00+05:30,2551.4,2556.8,2551.3,2551.3,5133
2024-08-01 09:51:00+05:30,2553.6,2556.05,2552.3,2555.65,2358
2024-08-01 09:52:00+05:30,2555.65,2558.2,2551.95,2554.35,2105
2024-08-01 09:53:00+05:30,2552.8,2555.95,2552.8,2555.0,816
2024-08-01 09:54:00+05:30,2555.0,2555.0,2552.5,2553.2,926
2024-08-01 09:55:00+05:30,2553.2,2553.9,2551.0,2552.25,1393
2024-08-01 09:56:00+05:30,2552.15,2553.0,2550.1,2550.1,526
2024-08-01 09:57:00+05:30,2550.55,2550.7,2548.0,2549.9,1611
2024-08-01 09:58:00+05:30,2549.9,2552.2,2549.0,2550.3,1304
2024-08-01 09:59:00+05:30,2550.3,2552.4,2550.0,2551.6,366
2024-08-01 10:00:00+05:30,2551.6,2552.65,2550.05,2550.35,1333
2024-08-01 10:01:00+05:30,2550.35,2551.05,2546.0,2546.1,3530
2024-08-01 10:02:00+05:30,2547.3,2547.95,2545.0,2546.65,2613
2024-08-01 10:03:00+05:30,2546.65,2547.0,2545.0,2545.15,851
2024-08-01 10:04:00+05:30,2545.0,2547.0,2545.0,2545.3,4185
2024-08-01 10:05:00+05:30,2545.05,2547.8,2545.05,2547.8,1725
2024-08-01 10:06:00+05:30,2546.55,2547.5,2545.0,2546.3,2112
2024-08-01 10:07:00+05:30,2546.3,2551.4,2545.0,2547.0,6253
2024-08-01 10:08:00+05:30,2548.2,2548.2,2543.5,2543.5,2990
2024-08-01 10:09:00+05:30,2543.5,2544.1,2542.0,2542.0,2571
2024-08-01 10:10:00+05:30,2541.7,2542.9,2536.65,2536.7,14409
2024-08-01 10:11:00+05:30,2537.15,2539.1,2536.5,2538.75,2118
2024-08-01 10:12:00+05:30,2538.5,2540.0,2537.1,2538.1,4143
2024-08-01 10:13:00+05:30,2538.1,2538.55,2535.55,2537.4,3506
2024-08-01 10:14:00+05:30,2537.4,2539.5,2536.95,2538.55,1741
2024-08-01 10:15:00+05:30,2538.55,2541.35,2537.75,2541.3,1235
2024-08-01 10:16:00+05:30,2541.3,2541.55,2537.0,2541.55,2766
2024-08-01 10:17:00+05:30,2541.55,2544.8,2540.0,2542.5,2447
2024-08-01 10:18:00+05:30,2543.55,2546.7,2541.65,2542.65,1522
2024-08-01 10:19:00+05:30,2542.7,2544.0,2541.1,2543.0,3239
2024-08-01 10:20:00+05:30,2543.0,2543.0,2540.0,2540.0,1333
2024-08-01 10:21:00+05:30,2540.0,2542.95,2540.0,2541.0,4392
2024-08-01 10:22:00+05:30,2541.0,2542.35,2540.65,2541.1,4061
2024-08-01 10:23:00+05:30,2541.1,2542.45,2540.4,2541.7,4814
