symbol,strategy,entry_time,exit_time,actual_entry_close,slippage_entry_price,actual_exit_close,slippage_exit_price,qty,side,pnl,equity
cash_ACC,MovingAverage,2024-08-02 09:17:00,2024-08-02 09:19:00,2469.25,2470.484625,2468.45,2467.215775,50,LONG,-163.44249999999647,-10546.769999998764
cash_PFIZER,MovingAverage,2024-08-02 09:34:00,2024-08-02 09:40:00,5611.05,5613.855525,5605.1,5602.297450000001,50,LONG,-577.9037499999504,-11124.673749998714
cash_ACC,MovingAverage,2024-08-02 09:46:00,2024-08-02 09:49:00,2443.15,2444.371575,2450.0,2448.775,50,LONG,220.1712499999985,-10904.502499998714
cash_PFIZER,MovingAverage,2024-08-02 09:50:00,2024-08-02 09:52:00,5610.35,5613.155175,5613.8,5610.993100000001,50,LONG,-108.10374999996384,-11012.606249998678
cash_ACC,MovingAverage,2024-08-02 09:52:00,2024-08-02 10:01:00,2450.1,2451.32505,2441.8,2440.5791000000004,50,LONG,-537.2974999999769,-11549.903749998655
cash_PFIZER,MovingAverage,2024-08-02 09:58:00,2024-08-02 10:04:00,5615.35,5618.157675,5616.45,5613.641775,50,LONG,-225.79500000001644,-11775.698749998672
cash_ACC,MovingAverage,2024-08-02 10:04:00,2024-08-02 10:06:00,2436.05,2437.268025,2434.75,2433.5326250000003,50,LONG,-186.7699999999786,-11962.46874999865
cash_PFIZER,MovingAverage,2024-08-02 10:22:00,2024-08-02 10:28:00,5624.0,5626.812,5623.95,5621.138025,50,LONG,-283.698749999985,-12246.167499998635
cash_ACC,MovingAverage,2024-08-02 10:34:00,2024-08-02 10:37:00,2454.9,2456.12745,2460.1,2458.8699500000002,50,LONG,137.12500000001455,-12109.04249999862
cash_PFIZER,MovingAverage,2024-08-02 10:38:00,2024-08-02 10:40:00,5632.85,5635.666425,5640.0,5637.18,50,LONG,75.67874999999731,-12033.363749998623
cash_ACC,MovingAverage,2024-08-02 10:46:00,2024-08-02 10:49:00,2461.85,2463.0809249999998,2459.0,2457.7705,50,LONG,-265.5212499999834,-12298.884999998607
cash_PFIZER,MovingAverage,2024-08-02 10:42:00,2024-08-02 10:52:00,5644.25,5647.072125,5652.05,5649.223975000001,50,LONG,107.59250000005522,-12191.292499998552
cash_ACC,MovingAverage,2024-08-02 10:52:00,2024-08-02 10:54:00,2455.15,2456.377575,2467.05,2465.8164750000005,50,LONG,471.9450000000279,-11719.347499998523
cash_PFIZER,MovingAverage,2024-08-02 11:10:00,2024-08-02 11:16:00,5646.0,5648.822999999999,5645.55,5642.7272250000005,50,LONG,-304.7887499999433,-12024.136249998466
cash_ACC,MovingAverage,2024-08-02 11:22:00,2024-08-02 11:25:00,2454.25,2455.477125,2454.1,2452.87295,50,LONG,-130.20874999999705,-12154.344999998462
cash_PFIZER,MovingAverage,2024-08-02 11:26:00,2024-08-02 11:28:00,5645.1,5647.92255,5645.65,5642.827175,50,LONG,-254.76874999999382,-12409.113749998456
cash_PFIZER,MovingAverage,2024-08-02 11:31:00,2024-08-02 11:32:00,5653.35,5656.176675,5645.7,5642.87715,50,LONG,-664.9762499999724,-13074.089999998429
cash_ACC,MovingAverage,2024-08-02 11:32:00,2024-08-02 11:34:00,2455.15,2456.377575,2451.05,2449.8244750000003,50,LONG,-327.65499999998156,-13401.74499999841
cash_ACC,MovingAverage,2024-08-02 11:40:00,2024-08-02 11:41:00,2451.15,2452.375575,2451.15,2449.924425,50,LONG,-122.55749999999352,-13524.302499998403
cash_ACC,MovingAverage,2024-08-02 11:57:00,2024-08-02 11:58:00,2447.9,2449.12395,2450.0,2448.775,50,LONG,-17.447500000002947,-13541.749999998407
cash_PFIZER,MovingAverage,2024-08-02 11:56:00,2024-08-02 11:59:00,5668.05,5670.884025,5668.0,5665.166,50,LONG,-285.90125000000626,-13827.651249998413
cash_ACC,MovingAverage,2024-08-02 12:00:00,2024-08-02 12:01:00,2448.7,2449.92435,2445.4,2444.1773000000003,50,LONG,-287.3524999999745,-14115.003749998388
cash_ACC,MovingAverage,2024-08-02 12:20:00,2024-08-02 12:23:00,2449.0,2450.2245,2448.9,2447.6755500000004,50,LONG,-127.44749999997111,-14242.45124999836
cash_PFIZER,MovingAverage,2024-08-02 12:16:00,2024-08-02 12:26:00,5661.0,5663.8305,5662.8,5659.9686,50,LONG,-193.0949999999939,-14435.546249998353
cash_ACC,MovingAverage,2024-08-02 12:26:00,2024-08-02 12:28:00,2448.35,2449.5741749999997,2449.15,2447.9254250000004,50,LONG,-82.43749999996908,-14517.983749998322
cash_PFIZER,MovingAverage,2024-08-02 12:46:00,2024-08-02 12:49:00,5658.0,5660.829,5664.35,5661.517825000001,50,LONG,34.441250000054424,-14483.542499998268
cash_ACC,MovingAverage,2024-08-02 12:49:00,2024-08-02 12:51:00,2451.25,2452.475625,2452.25,2451.0238750000003,50,LONG,-72.587499999986,-14556.129999998255
cash_ACC,MovingAverage,2024-08-02 12:56:00,2024-08-02 12:59:00,2449.95,2451.174975,2450.15,2448.9249250000003,50,LONG,-112.50249999998232,-14668.632499998237
cash_PFIZER,MovingAverage,2024-08-02 13:07:00,2024-08-02 13:10:00,5663.45,5666.281725,5657.8,5654.971100000001,50,LONG,-565.5312499999582,-15234.163749998195
cash_ACC,MovingAverage,2024-08-02 13:11:00,2024-08-02 13:14:00,2449.95,2451.174975,2450.0,2448.775,50,LONG,-119.99874999999065,-15354.162499998187
cash_ACC,MovingAverage,2024-08-02 13:18:00,2024-08-02 13:19:00,2446.5,2447.72325,2446.45,2445.226775,50,LONG,-124.82374999999593,-15478.986249998183
cash_ACC,MovingAverage,2024-08-02 13:31:00,2024-08-02 13:32:00,2450.0,2451.225,2450.0,2448.775,50,LONG,-122.4999999999909,-15601.486249998174
cash_PFIZER,MovingAverage,2024-08-02 13:34:00,2024-08-02 13:35:00,5663.25,5666.081625,5657.05,5654.221475,50,LONG,-593.0074999999761,-16194.49374999815
